Index,File,SizeCalc,nOpts,CandTimesMoved,TotalMoves,TimesMoved
0,random graphs/ratio_d3/r1.5k18n12/graph0.lgbin,3784,199,3,8,"[0, 0, 1, 1, 0, 1, 1, 1, 3, 0, 1, 2, 0, 2, 1, 1, 4, 2, 3, 1, 1, 5, 2, 3, 2, 2, 4, 1, 2, 3, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 1, 2, 3, 3, 2, 2, 1, 1, 2, 2, 1, 3, 2, 1, 3, 2, 5, 2, 2, 1, 2, 3, 3, 2, 2, 3, 1, 3, 2, 2, 3, 2, 1, 4, 2, 3, 2, 3, 3, 2, 2, 2, 3, 3, 4, 1, 3, 1, 3, 3, 2, 2, 0, 3, 3, 1, 3, 4, 2, 4, 3, 4, 2, 1, 4, 4, 4, 1, 5, 3, 1, 2, 1, 1, 3, 0, 2, 4, 4, 5, 1, 3, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 2, 1, 1, 2, 1, 3, 0, 1, 3, 2, 4, 6, 4, 1, 4, 2, 4, 3, 3, 2, 4, 1, 1, 3, 2, 1, 3, 0, 1, 4, 2, 3, 2, 2, 5, 1, 2, 1, 0, 2, 2, 1, 5, 3, 1, 1, 1, 0, 2, 3, 1, 1, 1, 0]"
1,random graphs/ratio_d3/r1.5k18n12/graph1.lgbin,3784,303,7,19,"[0, 11, 1, 0, 2, 1, 1, 1, 2, 7, 2, 2, 0, 3, 2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 1, 3, 0, 1, 1, 1, 2, 5, 1, 1, 0, 2, 2, 2, 2, 2, 0, 6, 4, 4, 3, 4, 5, 2, 2, 5, 9, 7, 2, 3, 3, 3, 3, 6, 3, 3, 4, 4, 4, 5, 7, 4, 1, 1, 4, 4, 3, 3, 3, 2, 3, 2, 1, 3, 1, 4, 3, 4, 3, 3, 4, 1, 0, 9, 4, 3, 1, 5, 3, 7, 7, 5, 3, 6, 7, 1, 1, 6, 3, 6, 1, 6, 5, 6, 2, 6, 4, 5, 8, 6, 7, 10, 8, 4, 8, 5, 11, 6, 9, 2, 6, 12, 8, 7, 5, 4, 3, 4, 4, 3, 7, 5, 8, 4, 3, 8, 3, 7, 5, 5, 1, 4, 4, 3, 2, 4, 6, 8, 4, 4, 3, 5, 3, 3, 6, 6, 4, 4, 1, 4, 6, 6, 4, 6, 3, 2, 5, 7, 5, 5, 3, 8, 3, 3, 7, 5, 9, 3, 5, 5, 9, 2, 4, 3, 2, 1, 9, 3, 7, 3, 4, 1, 1, 6, 0, 6, 0, 1, 7, 1, 9]"
2,random graphs/ratio_d3/r1.5k18n12/graph2.lgbin,3784,448,2,6,"[2, 2, 1, 0, 3, 0, 1, 2, 2, 4, 2, 2, 0, 1, 1, 3, 2, 5, 2, 1, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 3, 2, 1, 1, 3, 4, 2, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 1, 2, 1, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 1, 2, 0, 2, 2, 2, 2, 2, 2, 2, 4, 1, 5, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 4, 1, 0, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 0, 1, 0, 1, 2, 2, 3, 3, 1, 2, 1, 3, 1, 3, 5, 3, 0, 1, 2, 2, 4, 2, 3, 2, 2, 3, 1, 2, 2, 3, 2, 2, 1, 2, 3, 2, 3, 2, 0, 1, 2, 2, 0, 3, 3, 2, 2, 3, 1, 2, 3, 2, 3, 1, 0, 3, 2, 3, 2, 1, 2, 1, 3, 4, 0, 1, 2, 1, 2, 1, 1, 2, 2, 2]"
3,random graphs/ratio_d3/r1.5k18n12/graph3.lgbin,3784,235,5,8,"[1, 3, 2, 2, 4, 2, 2, 3, 5, 4, 1, 2, 2, 2, 4, 2, 2, 1, 2, 2, 4, 1, 5, 4, 3, 4, 4, 2, 4, 1, 2, 1, 2, 5, 1, 3, 1, 1, 4, 5, 2, 4, 2, 2, 1, 1, 3, 2, 0, 1, 3, 2, 3, 3, 2, 3, 1, 1, 2, 2, 3, 1, 1, 1, 4, 2, 1, 2, 1, 1, 3, 1, 2, 2, 3, 2, 3, 4, 2, 2, 1, 3, 3, 3, 4, 4, 3, 2, 3, 1, 2, 1, 3, 2, 2, 1, 2, 3, 4, 3, 4, 1, 4, 1, 2, 3, 1, 3, 3, 3, 6, 1, 3, 2, 2, 2, 2, 3, 2, 3, 0, 4, 1, 1, 2, 1, 4, 2, 2, 1, 1, 3, 0, 2, 0, 2, 1, 2, 2, 0, 1, 1, 2, 2, 2, 1, 3, 2, 1, 2, 2, 2, 2, 1, 1, 3, 2, 2, 5, 3, 4, 3, 3, 3, 2, 2, 1, 2, 3, 3, 3, 4, 3, 3, 3, 3, 3, 1, 3, 1, 1, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 1, 4, 4, 4, 4, 0, 2]"
4,random graphs/ratio_d3/r1.5k18n12/graph4.lgbin,3784,333,4,11,"[0, 1, 1, 3, 3, 0, 2, 2, 3, 1, 2, 3, 5, 0, 1, 1, 6, 1, 2, 4, 1, 5, 0, 2, 0, 2, 1, 5, 4, 0, 2, 5, 3, 1, 4, 1, 2, 1, 3, 1, 3, 0, 1, 2, 1, 0, 1, 1, 1, 3, 3, 1, 1, 4, 1, 1, 1, 3, 0, 1, 1, 1, 5, 3, 1, 1, 1, 0, 1, 1, 5, 1, 4, 6, 3, 0, 1, 2, 4, 3, 2, 1, 2, 0, 1, 3, 1, 2, 3, 1, 2, 1, 5, 5, 0, 1, 0, 4, 1, 1, 1, 3, 3, 1, 4, 3, 4, 2, 2, 4, 3, 5, 1, 2, 4, 3, 3, 4, 1, 4, 5, 3, 1, 3, 4, 1, 1, 4, 5, 4, 4, 3, 3, 4, 2, 4, 3, 4, 4, 3, 1, 3, 4, 5, 1, 2, 1, 3, 2, 1, 3, 1, 2, 1, 7, 2, 3, 5, 1, 1, 2, 1, 1, 0, 2, 4, 1, 1, 4, 1, 5, 2, 2, 4, 1, 1, 3, 1, 2, 3, 3, 5, 1, 1, 2, 0, 3, 3, 5, 5, 2, 5, 2, 3, 2, 4, 5, 6, 1, 2, 3, 8, 1, 4, 3]"
5,random graphs/ratio_d3/r1.5k18n12/graph5.lgbin,3784,276,3,14,"[4, 4, 4, 4, 3, 4, 4, 3, 4, 5, 4, 1, 3, 1, 4, 3, 1, 6, 7, 4, 3, 5, 5, 5, 1, 2, 5, 5, 2, 5, 5, 6, 3, 4, 6, 4, 5, 4, 4, 6, 2, 4, 1, 5, 6, 2, 4, 5, 4, 3, 4, 4, 4, 2, 3, 6, 4, 7, 2, 2, 6, 5, 3, 2, 8, 1, 3, 3, 1, 7, 1, 6, 2, 0, 3, 5, 2, 5, 2, 5, 7, 5, 4, 2, 2, 3, 2, 1, 5, 5, 6, 5, 1, 4, 1, 8, 3, 2, 0, 2, 2, 3, 3, 0, 4, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 1, 1, 1, 1, 3, 1, 0, 1, 8, 1, 1, 1, 0, 2, 0, 4, 5, 2, 2, 1, 1, 0, 1, 3, 1, 1, 6, 7, 4, 5, 4, 1, 4, 3, 6, 3, 0, 1, 5, 3, 3, 3, 5, 7, 5, 3, 4, 4, 3, 3, 3, 0, 6, 1, 4, 3, 5, 2, 4, 5, 0, 4, 3, 3, 3, 1, 3, 3, 3, 3, 2, 1, 1, 3, 1, 3, 2, 1, 1, 3, 1]"
6,random graphs/ratio_d3/r1.5k18n12/graph6.lgbin,3784,360,7,13,"[1, 2, 1, 1, 4, 5, 4, 1, 3, 3, 1, 1, 2, 1, 1, 6, 2, 3, 3, 6, 1, 5, 1, 5, 2, 2, 2, 1, 2, 1, 4, 1, 1, 1, 0, 2, 3, 2, 3, 2, 0, 3, 2, 2, 1, 2, 2, 1, 3, 3, 2, 3, 7, 2, 4, 1, 2, 3, 2, 2, 0, 6, 3, 2, 4, 2, 2, 5, 1, 1, 1, 3, 0, 3, 2, 3, 1, 2, 1, 2, 3, 2, 4, 3, 7, 3, 2, 2, 1, 2, 2, 3, 8, 5, 3, 2, 4, 4, 3, 7, 6, 5, 3, 7, 4, 2, 4, 3, 3, 5, 6, 1, 4, 1, 4, 4, 7, 4, 4, 3, 7, 5, 4, 5, 4, 4, 2, 3, 2, 3, 7, 1, 2, 2, 4, 2, 4, 5, 4, 7, 3, 3, 4, 3, 1, 6, 3, 7, 2, 3, 3, 8, 3, 4, 5, 7, 4, 4, 6, 6, 2, 5, 5, 4, 5, 7, 3, 3, 4, 2, 1, 2, 1, 7, 3, 3, 2, 3, 1, 1, 1, 2, 7, 2, 0, 3, 4, 5, 2, 2, 2, 2, 6, 7, 5, 1, 4, 4, 3, 5, 3, 3, 5]"
7,random graphs/ratio_d3/r1.5k18n12/graph7.lgbin,3784,182,3,8,"[0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 1, 1, 3, 0, 1, 1, 1, 3, 1, 1, 0, 2, 1, 1, 2, 0, 1, 0, 0, 2, 1, 1, 3, 3, 3, 1, 0, 3, 3, 1, 3, 0, 3, 1, 0, 2, 1, 3, 3, 3, 2, 3, 2, 4, 1, 2, 2, 2, 1, 3, 2, 0, 0, 4, 1, 3, 1, 3, 3, 1, 2, 2, 0, 2, 2, 2, 3, 1, 3, 1, 3, 1, 2, 1, 1, 3, 1, 3, 4, 3, 2, 2, 1, 5, 3, 3, 3, 5, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 1, 3, 1, 1, 1, 3, 1, 3, 2, 0, 2, 2, 1, 2, 4, 4, 3, 2, 3, 3, 2, 3, 2, 2, 3, 0, 1, 2, 1, 3, 1, 0, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 0, 1, 4, 1, 1, 4, 1, 2, 2, 2, 2, 1, 3, 1, 1, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 2, 1, 1, 2, 0, 1, 1, 2, 1, 3, 1, 1, 4, 1, 2, 2, 1, 3]"
8,random graphs/ratio_d3/r1.5k18n12/graph8.lgbin,3784,373,4,10,"[5, 2, 3, 3, 4, 3, 2, 3, 3, 6, 1, 2, 1, 3, 4, 1, 1, 3, 2, 1, 3, 2, 2, 1, 3, 6, 1, 3, 0, 5, 2, 2, 2, 3, 2, 5, 4, 4, 2, 6, 3, 1, 2, 1, 1, 0, 4, 2, 2, 7, 3, 2, 5, 2, 2, 3, 1, 4, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 1, 1, 1, 3, 0, 2, 1, 2, 2, 1, 4, 3, 1, 4, 2, 3, 3, 4, 4, 4, 4, 2, 4, 2, 3, 4, 2, 1, 2, 3, 4, 1, 1, 2, 2, 5, 1, 2, 3, 2, 2, 3, 2, 1, 3, 3, 2, 3, 3, 5, 6, 2, 4, 2, 2, 3, 3, 4, 1, 2, 1, 4, 3, 1, 1, 2, 2, 1, 3, 0, 5, 6, 2, 5, 1, 2, 5, 2, 1, 3, 3, 4, 1, 4, 2, 4, 4, 5, 2, 3, 2, 4, 2, 4, 3, 5, 3, 5, 4, 4, 2, 3, 4, 4, 4, 2, 4, 2, 3, 3, 2, 2, 2, 1, 6, 3, 1, 4, 3, 4, 2, 0, 2, 0, 1, 3, 4, 1, 0, 4, 2, 3, 1, 1, 1]"
9,random graphs/ratio_d3/r1.5k18n12/graph9.lgbin,3784,420,3,11,"[3, 2, 2, 3, 3, 3, 2, 2, 2, 4, 1, 2, 1, 0, 2, 1, 1, 1, 2, 3, 2, 0, 1, 3, 2, 2, 0, 3, 2, 1, 2, 1, 1, 1, 0, 3, 5, 4, 2, 3, 2, 4, 3, 3, 2, 1, 2, 4, 1, 4, 1, 4, 4, 4, 2, 6, 3, 1, 2, 2, 3, 2, 2, 2, 4, 5, 4, 1, 4, 3, 2, 2, 4, 1, 3, 3, 2, 4, 2, 2, 2, 2, 3, 4, 4, 2, 3, 3, 2, 3, 3, 2, 3, 2, 4, 1, 3, 3, 2, 2, 1, 3, 3, 4, 3, 4, 1, 1, 3, 0, 2, 1, 1, 0, 3, 1, 3, 0, 1, 3, 4, 1, 0, 3, 1, 1, 2, 0, 2, 2, 1, 1, 2, 0, 1, 0, 1, 1, 2, 2, 0, 2, 2, 4, 0, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3, 2, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 4, 3, 4, 0, 3, 1, 1, 1, 2, 4, 2, 2, 1, 1, 3, 1, 4, 1, 3, 2, 0, 2, 4, 4, 3, 4, 2, 2, 5, 1, 4, 0, 0]"
10,random graphs/ratio_d3/r1.5k18n12/graph10.lgbin,3784,330,5,10,"[1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 5, 1, 5, 4, 3, 1, 5, 5, 3, 1, 1, 3, 1, 1, 1, 1, 3, 4, 1, 4, 0, 0, 1, 4, 0, 3, 1, 4, 0, 2, 5, 3, 5, 2, 1, 1, 1, 2, 2, 1, 1, 3, 1, 0, 1, 1, 7, 3, 5, 2, 1, 2, 3, 1, 0, 5, 1, 2, 5, 1, 1, 6, 2, 1, 4, 5, 2, 5, 4, 2, 2, 2, 2, 5, 5, 3, 4, 4, 2, 1, 2, 5, 4, 4, 3, 4, 5, 4, 3, 4, 3, 2, 3, 4, 4, 4, 3, 6, 3, 3, 3, 2, 4, 4, 4, 4, 2, 2, 3, 2, 2, 3, 3, 2, 2, 3, 5, 5, 1, 3, 2, 4, 4, 3, 2, 3, 3, 1, 3, 2, 3, 5, 3, 3, 5, 3, 3, 3, 2, 5, 4, 2, 2, 3, 1, 4, 2, 2, 1, 3, 3, 2, 6, 4, 2, 4, 5, 1, 1, 2, 1, 1, 1, 3, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 1, 3, 3, 3, 2, 0, 2, 1, 0, 1, 0, 2, 1, 3, 1, 2, 2, 4, 2, 2, 5, 2, 2]"
